,formula
74209,SrHI
74210,H6CN4O
74211,CrH2
74212,CoH8(IO5)2
74213,RbP(HO)2
74214,KPH3O4F
74215,ScH3Br3N
74216,ZnHgAsHO5
74217,Sc2P3(HO3)3
74218,ErGa2
74219,Cs2FeH12(SO7)2
74220,H8Pt(NCl3)2
74221,Na2CuH6C2O9
74222,Na2CaH10C2O11
74223,US
74224,HCNO
74225,NiH12(ClO3)2
74226,H5CN3O4
74227,MoH8S2(NO)2
74228,H6CSN4
74229,ScH2
74230,K(BH)6
74231,LaZn5
74232,K3B12H12I
74233,Rb3B12H12I
74234,CuHOF
74235,Mn2H2SO6
74236,LiAg
74237,KP(HO2)2
74238,KP(HO2)2
74239,Ca2BHN2
74240,ZnP4H16(NO8)2
74241,K(BH)5
74242,CaH20C4S4(NO6)2
74243,CdH20C4S4(NO6)2
74244,KGdP2H4O9
74245,AlH36C12S6(IO2)3
74246,GaH36C12S6(IO2)3
74247,InH36C12S6(IO2)3
74248,PH9C3Br3N
74249,NpH2
74250,ZrH2
74251,CrH
74252,LuH2
74253,HPd
74254,HS7N
74255,ThH2
74256,Sr2H6Ru
74257,HgHClO4
74258,CoH4(CO3)2
74259,SrP2(HO)4
74260,P2H4PbO4
74261,KC
74262,ZrGe2
74263,CoP4H16(NO8)2
74264,CdAs2HF13
74265,Mg3P4H48(NO15)2
74266,CdH8C4(S2N3)2
74267,AlSiH9C3Cl2O
74268,ErTl3
74269,Sr(H9O5)2
74270,ZnH6(CO3)2
74271,CdP2(HO)4
74272,CaMg2
74273,RbHCO2
74274,H2C(NO)2
74275,UH12(ClO2)3
74276,YH5(SeO4)2
74277,MgH4(ClO)2
74278,MgH2Cl2O
74279,Sr5As3H
74280,Sm5Sb3H
74281,SrTl
74282,K3GeH3S3O2
74283,CsBeH3
74284,LiBeH3
74285,ZnH12(SO6)2
74286,Be2CoH20N2(O3F4)2
74287,BiP4HO12
74288,HoCo5
74289,K2CoH8(CO5)2
74290,H7Se2NO6
74291,KBe(H2N)3
74292,CdH4NCl3
74293,H3CSO4F3
74294,CaAs(HO)7
74295,EuZn5
74296,CaP2(HO2)4
74297,CuH6CN2O3
74298,PH10N2O4F
74299,CaAs2(HO2)4
74300,K2ZnH12(SO7)2
74301,Na2AsH15O11
74302,Na2Si(H4O3)3
74303,IrF3
74304,H5N2ClO4
74305,TlH4NCl4
74306,CrCoH18(CN2)6
74307,VH20S2(NO7)2
74308,H5ClO2
74309,Mg(H2N)2
74310,CaH8(ClO2)2
74311,MnH8(ClO2)2
74312,CaPH5O6
74313,ZrNi5
74314,CaPHO4
74315,MgB3H15O13
74316,Ca2Al2FeSi4BHO16
74317,MgH14SO11
74318,MgH8SO8
74319,AlP(H2O3)2
74320,MgH10SO9
74321,CaAlSiHO5
74322,LiCd4Ge5HO15
74323,CdP2H6O7
74324,PH4I
74325,Cd3P2
74326,CoH4(BrO)2
74327,K2LiAlH6
74328,K2NaAlH6
74329,Na2LiAlH6
74330,MnH
74331,MoH
74332,SrLiH3
74333,ErAu
74334,BaH2Cl2O7
74335,CaHBr
74336,SrHBr
74337,BaHBr
74338,HgH2SeO5
74339,KH2N
74340,CrCuH18Br5N6
74341,DyHg
74342,CdCoH18N6Cl5
74343,Si2H2O3
74344,KHSeO3
74345,Ca5As4(HO2)10
74346,K2MgH12(SO7)2
74347,GaRh
74348,Na3SbH18S4O9
74349,Nd2H16S3O20
74350,LiH2SO4
74351,FeCoH18(NCl)6
74352,CaP2H6O7
74353,SrH2N2O5
74354,MgH6(SO4)4
74355,H12OsN5Cl3O
74356,H3SO4F
74357,MgH4S2O9
74358,GaP3(HO5)2
74359,H8S(NO2)2
74360,CaAl4Si2(HO6)2
74361,P4Se5
74362,Fe4P3(HO5)3
74363,BePH4NO4
74364,Fe7P6(HO6)4
74365,NiH6(CO3)2
74366,MnH6(CO3)2
74367,PuH8(SO6)2
74368,SrH2Br2O7
74369,CrH17N4Cl2O3
74370,NaZn2H3(SO4)2
74371,NbRh3
74372,CaSn
74373,ZnH12SeO10
74374,ZnH2(SO4)2
74375,H2
74376,MgAl2P2(HO)18
74377,Na6Zn3P4H6O19
74378,ZrH3NF4
74379,CdH4(BrO4)2
74380,YAl3
74381,BaH2I2O7
74382,YH3
74383,Co7P6(HO6)4
74384,Rb2CaH4
74385,P2O5
74386,CuH2SO5
74387,CsAlH24(SeO10)2
74388,CrH8C4(S2N3)2
74389,CaH4SeO6
74390,CoP2(H4O5)2
74391,FeH8(BrO2)2
74392,K2H12Ru(SO7)2
74393,TiFe2
74394,Ni3H2Se3O10
74395,NiH4SeO5
74396,MgH2(SeO4)2
74397,ZnH2(SeO4)2
74398,As2Os
74399,MnAsH2O5
74400,AlH18C3(N3F2)3
74401,MnTl2H2OF5
74402,Rb2CuH4(Cl2O)2
74403,LiB2H3O5
74404,Ga2P3(HO3)3
74405,BaHClO
74406,MgH8(IO5)2
74407,Tb2O3
74408,Be3As2(H2O5)2
74409,K2NiH8(CO5)2
74410,NdH5(SeO4)2
74411,VAg(HO2)2
74412,NiSnH12(OF)6
74413,MgH10(SeO5)2
74414,TbO2
74415,LiZnPH2O5
74416,NaMn3P3(HO6)2
74417,K2HBrO
74418,YbIn
74419,ZnH2SeO4
74420,Ca2B5H2ClO10
74421,Cr2CdH14(NO2)4
74422,BaVP2(H2O5)2
74423,H8W3Se(NO6)2
74424,TiF3
74425,Er2O3
74426,Al3Si2H3O10
74427,CaAl2Si2(H2O5)2
74428,Rb2MgH8(CO5)2
74429,K2AlH2OF5
74430,RbMnP3HO10
74431,CaGa4
74432,LiP(HO2)2
74433,BeH8(NF2)2
74434,LiH4SeNO4
74435,RbGdH2S2O9
74436,AlH10N2OF5
74437,FeH10N2OF5
74438,PrCu5
74439,MgMoH2O5
74440,Rb2NiH8(CO5)2
74441,Rb2CoH8(CO5)2
74442,KHCN2
74443,LuFe2
74444,Re2Ni(H2O3)4
74445,Mg3P2(HO)16
74446,ErH3(SO4)3
74447,Er(HO)3
74448,NaAlBP2H3O10
74449,RbFeBP2HO9
74450,DyPt3
74451,YH2
74452,TiH8N2F5
74453,KZnP2H5O9
74454,YH3(SO4)3
74455,ZnBP2H4NO8
74456,SmH2
74457,UH3
74458,ErAu2
74459,Rb4Mg3H10
74460,ZnH8C2N4(ClO)2
74461,CsHF2
74462,CrH
74463,Zr6Al2CoH10
74464,Zr6Ni(SnH5)2
74465,Be3P2(H2O5)2
74466,ErHg
74467,RbH18RuN6(ClO2)4
74468,CsCrH18N6(ClO2)4
74469,CsCrH18Br2N6(ClO4)2
74470,RbZn2P2HO8
74471,Rb2NiH12(SO7)2
74472,CdS
74473,Zn(H2N)2
74474,MgSb2(H4O3)6
74475,DyS
74476,SrCaB5H2ClO10
74477,Co3AgP3(HO6)2
74478,ZnH8SO8
74479,VBP2H5NO9
74480,PH5NO3F
74481,ZnH4(CO3)2
74482,NiH
74483,SrO
74484,PuH2
74485,RbH
74486,HRh
74487,TaH2
74488,TbH2
74489,Th(TiH3)2
74490,TiH2
74491,TmH2
74492,VH2
74493,RbGa2P2H5O11
74494,Re3As7
74495,Ni3AgP3(HO6)2
74496,MnH8SO8
74497,NaZnP3(H4O5)2
74498,YAg
74499,ScH3NCl3
74500,K2MgH8(SO6)2
74501,Na3H6Rh
74502,CdH6(CO3)2
74503,SmAg
74504,MgFe2P2(HO)18
74505,Rb2NiH12(SeO7)2
74506,AlBP2H5NO9
74507,CoH20Se2(NO7)2
74508,ZnH20Se2(NO7)2
74509,RbGaBP2HO9
74510,AlH36C12S6(ClO2)3
74511,KHoH8RuC6(N3O2)2
74512,FeH18(NO6)3
74513,NbSi2
74514,Mg16Si8HO32
74515,Rb3B12H12Br
74516,Rb3B12H12Cl
74517,Cs3B12H12Cl
74518,Fe2N
74519,OsSe2
74520,Sr2Al3Si3HO13
74521,LaNiSnH2
74522,CaH2
74523,Mg2Cu
74524,NaBH4
74525,KTiH2S2O9
74526,LaFe5H2
74527,KBH4
74528,K2Cr2Cd(H2O5)2
74529,LiBeH3
74530,LiBeH3
74531,CaC2
74532,Na5Al3H14
74533,MnH16C4(Br2N)2
74534,KVBP2HO9
74535,BaCoBP2HO9
74536,DyMn2
74537,SiP3H29C10BrN
74538,DyH4I3O11
74539,H4N2O3
74540,K2MgCr2(H2O5)2
74541,SmSn3
74542,BaNdCo2O5
74543,UC2
74544,SiOs
74545,UC
74546,HfAl
74547,GaP
74548,ErSe
74549,CeN
74550,PrS
74551,Cs4Sn23
74552,GdZn
74553,BaDyFe2O5
74554,PrOs2
74555,BaSi
74556,N2
74557,Mg2Ge
74558,AlCu
74559,BMo2
74560,TmCd
74561,Pd7Se4
74562,RbZn13
74563,Sr2NiMoO6
74564,GaS
74565,Mo(CO)6
74566,ThRh3
74567,NiBiO3
74568,TaN
74569,ZrHg
74570,PbF2
74571,AsPd5
74572,As2Pt
74573,Mg3P2
74574,CrPt3
74575,YZn
74576,Ca2Si
74577,VCuO4
74578,Fe(WO4)2
74579,Pr(WO4)2
74580,VO2
74581,BeTe
74582,TmSb
74583,Bi(PdO2)2
74584,La2MoO6
74585,VPO5
74586,Cu5(Si2O7)2
74587,V2O5
74588,BiO2
74589,NiO2
74590,ScMo3O8
74591,YMo3O8
74592,NbO2
74593,K2Li2FeO4
74594,LuHg
74595,LiMnO2
74596,MnO2
74597,Ba2(CuO2)3
74598,KMnO2
74599,PuPt3
74600,Fe(SiO3)2
74601,La4CoO8
74602,V2O5
74603,CoO2
74604,FeO2
74605,Mn(PO3)3
74606,Cr(SiO3)2
74607,V(SiO3)2
74608,NdGa2
74609,Fe(SiO3)2
74610,Li3V2(SiO5)2
74611,FeP2O7
74612,FeMoClO4
74613,Li4(CuO2)3
74614,PrAg
74615,MoP2O7
74616,LiNiO2
74617,Fe(Se2O5)2
74618,FeAs2O7
74619,Fe(SeO3)2
74620,TiO2
74621,Sb(MoO4)2
74622,VPO5
74623,Mo2P2O11
74624,CoSiO4
74625,Ni2P3O10
74626,Co2P3O10
74627,Tl3(MoO4)2
74628,LiMo3O8
74629,Mo3O8
74630,MnO2
74631,Li3V2(GeO5)2
74632,V2(SO4)3
74633,V2O5
74634,V2O5
74635,VO2
74636,LiMn2NiO6
74637,Mn2NiO6
74638,V2O5
74639,LiCo(WO4)2
74640,PrRh2
74641,Co(WO4)2
74642,LiNi(WO4)2
74643,Ni(WO4)2
74644,Li3Cu2(WO4)4
74645,VP2O7
74646,MnBO3
74647,ScCo2
74648,Li2Te
74649,Fe2(PO4)3
74650,Ti(SiO3)2
74651,CrO2
74652,FePO4
74653,NiPO4
74654,Y2Ti2S2O5
74655,Er2Co17
74656,Fe(PO3)3
74657,LiNiO2
74658,Li3(CuO2)2
74659,PrTe
74660,MnVO4
74661,Na2Li2FeO4
74662,NbO2
74663,FeO2
74664,BiO2
74665,GaAs
74666,MoO2
74667,LiNiO2
74668,Mo3P3O16
74669,Ni2B
74670,LiCuO2
74671,LiMnO2
74672,WO2
74673,CuO2
74674,Y5Si3
74675,CuPO4F
74676,FePO4F
74677,Li(CoO2)2
74678,Li(CuO2)2
74679,Li(FeO2)2
74680,Li(MoO2)2
74681,Li(NiO2)2
74682,Li2CoPO4F
74683,Li2CrPO4F
74684,Li2FePO4F
74685,Li2MnPCO7
74686,Li2MnPO4F
74687,Li2NiPCO7
74688,Li2NiPO4F
74689,Li2PWCO7
74690,Li2PWO4F
74691,NdF3
74692,VTc
74693,Li2TiPCO7
74694,Li2TiPO4F
74695,Li2VPCO7
74696,Li2VPO4F
74697,Li3PWCO7
74698,LiCuPO4F
74699,LiFePCO7
74700,LiFePO4F
74701,LiMnPCO7
74702,SmTl
74703,LiMnPO4F
74704,LiNiO2
74705,LiNiPCO7
74706,LiNiPO4F
74707,LiPWCO7
74708,LiPWO4F
74709,LiTiO2
74710,LiTiPCO7
74711,BeO
74712,LiTiPO4F
74713,LiVPCO7
74714,LiVPO4
74715,LiVPO4F
74716,MnO2
74717,MnPO4F
74718,MoO2
74719,NiO2
74720,PWO4
74721,PWO4F
74722,TiO2
74723,TiPO4
74724,TiPO4F
74725,Zr2Be17
74726,VPO4F
74727,CoPO4F
74728,Li3FePCO7
74729,Li3NiPCO7
74730,LiCrPO4
74731,LiCrPO4F
74732,LiCuPO4
74733,YbHg
74734,CrPO4
74735,Li2CoPCO7
74736,Li2CrPCO7
74737,Li2CuPCO7
74738,Li2FePCO7
74739,Li3CoPCO7
74740,Li3CrPCO7
74741,NpC
74742,Li3CuPCO7
74743,Li3MnPCO7
74744,Li3TiPCO7
74745,Li3VPCO7
74746,LiCoPCO7
74747,LiCoPO4F
74748,LiCuPCO7
74749,LiWO2
74750,NiPO4F
74751,AlCl3
74752,YbPd
74753,PuAs
74754,CoH8(IO5)2
74755,NaHg
74756,NdTe2
74757,DyCo5
74758,TeO3
74759,HfBe2
74760,Al3V
74761,LiMnO2
74762,KMnO2
74763,TlSn
74764,MoO2
74765,ScMo3O8
74766,Li(MoO2)2
74767,YMo3O8
74768,SmMg
74769,LiNiO2
74770,SeS
74771,LaN
74772,Ti3Hg
74773,MnS
74774,CeSe
74775,SrMg
74776,S2N
74777,PuSb
74778,V3Si
74779,YSi2
74780,DyIn
74781,PuFe2
74782,Rb2O3
74783,SrMg2
74784,H8W3Se(NO6)2
74785,NpAl3
74786,Ba2Ho2Co4O11
74787,ZrO2
74788,Sr2Ge
74789,Mn3Rh
74790,Mn8Cl3O10
74791,NiTe2
74792,HoPt2
74793,ZrV2
74794,NbB
74795,Li2Bi(PO4)2
74796,Li6Fe9(PO4)8
74797,Li3V2P5O16
74798,LiV2P5O16
74799,Li3Fe3(PO4)4
74800,Fe3(PO4)4
74801,LiCr2P3O11
74802,Cr2P3O11
74803,TiSi2
74804,LiNi2(PO3)5
74805,LiFe4(PO4)3
74806,Fe4(PO4)3
74807,LiMo2P3O11
74808,Mo2P3O11
74809,LiMn2P3O11
74810,TiRh
74811,Mn2P3O11
74812,LiMnPO4
74813,Li3Cr2(PO4)3
74814,LiCr2(PO4)3
74815,Li3Ti2(PO4)3
74816,TbFe3
74817,LiTi2(PO4)3
74818,Li2Ni(PO3)5
74819,LiMo2(PO4)3
74820,Mo2(PO4)3
74821,Li2FeP2O7
74822,Li3Ni2(PO4)3
74823,LiNi2(PO4)3
74824,LiVP2O7
74825,Sr5Sb3
74826,VP2O7
74827,Li4Mn5(P3O11)2
74828,LiCr2(PO3)5
74829,Mo(PO4)2
74830,Li3Cu2P5O16
74831,Co3P3O11
74832,LiNi3P3O11
74833,YCo3
74834,LiBi(PO3)4
74835,LiFe3(P3O10)2
74836,Fe3(P3O10)2
74837,LiCuPO4
74838,CuPO4
74839,Li2Mn(PO3)4
74840,LiCoPO4
74841,MgO2
74842,Li3Ni(PO4)2
74843,SbP2O7
74844,LiNi2(PO4)3
74845,AlMo3
74846,Li4Cr(PO4)2
74847,Bi(PO3)4
74848,LiSn(PO3)4
74849,Sn(PO3)4
74850,Ti3O
74851,LiV3(P3O10)2
74852,V3(P3O10)2
74853,Si2Mo
74854,Mo2PO8
74855,Li6Mn9(PO4)8
74856,LiNi(PO3)3
74857,Li3Bi2(PO4)3
74858,AlNi3
74859,Mn4(PO4)3
74860,Li3Ti2(PO4)3
74861,LiMo(PO4)2
74862,BiP2O7
74863,Li2CuP2O7
74864,Sb2P5O16
74865,LiVP4O13
74866,SbP2O7
74867,LiMoP4O13
74868,LiCoPO4
74869,CoPO4
74870,LiMnP2O7
74871,MnP2O7
74872,Mn4(PO4)3
74873,LiBi(PO3)4
74874,NpN
74875,Bi(PO3)4
74876,LiFe(PO3)4
74877,LiFe(PO3)4
74878,Fe(PO3)4
74879,LiNiPO4
74880,NiPO4
74881,LiMn4(PO4)3
74882,InTe
74883,Mn4(PO4)3
74884,LiMnPO4
74885,MnPO4
74886,Li3MoP2O9
74887,LiCu(PO3)2
74888,Cu(PO3)2
74889,LiFe(PO3)4
74890,LiNi(PO3)4
74891,Ta5Sb4
74892,LiMo(PO4)2
74893,LiCr(PO3)4
74894,LiMo(PO3)4
74895,Mo(PO3)4
74896,NdN
74897,Li2Ni3(P2O7)2
74898,Ni3(P2O7)2
74899,Li3Fe2(PO4)3
74900,Li4Co(PO4)2
74901,Li3Co(PO4)2
74902,La
74903,CrB
74904,BaTe
74905,LiNi(PO3)3
74906,Ni(PO3)3
74907,LiFe(PO3)3
74908,LiMn6P7O24
74909,LiNiP2O7
74910,NiP2O7
74911,LiMo2P2O11
74912,LiMo2(PO4)3
74913,LiCo(PO3)3
74914,LiCoPO4
74915,LiMn(PO3)3
74916,NdAs
74917,LiCoPO4
74918,Li2FeP2O7
74919,LiNi(PO3)3
74920,Li9Mn3P8O29
74921,Li3Mn2(PO4)3
74922,MgTe2
74923,LiMn2(PO4)3
74924,LiFePO4
74925,Li3Cr2(PO4)3
74926,LiCr2(PO4)3
74927,Mo2(PO4)3
74928,Li3Fe(PO3)8
74929,CaO
74930,LiMo8(P2O11)4
74931,LiFe2(PO4)3
74932,Li3Fe(PO4)2
74933,LiMnPO4
74934,BaPd5
74935,Mn3(PO4)4
74936,LiMn2(PO4)3
74937,Mn2(PO4)3
74938,LiCr(PO3)3
74939,LiMn6PO12
74940,Mn6PO12
74941,Li3Fe2(PO4)3
74942,UGe3
74943,LiFe2(PO4)3
74944,LiMnPO4
74945,Bi2(PO4)3
74946,Li3Fe3(PO4)4
74947,Li3Cr2(PO4)3
74948,LiCr2(PO4)3
74949,Li4Mn(PO4)2
74950,Li2Mn3(P2O7)2
74951,Li3Mo2(PO4)3
74952,LiMo2(PO4)3
74953,Li3Co2(PO4)3
74954,LiCo2(PO4)3
74955,Li2CoP2O7
74956,LiVPO5
74957,LiNiPO4
74958,Li2Mn(PO3)4
74959,Ba3Al5
74960,Tb5Ge3
74961,Bi2(PO4)3
74962,Li3V3(PO4)4
74963,LiV2(PO4)3
74964,V2(PO4)3
74965,Li3Mo2(PO4)3
74966,BaGe2
74967,VPO4
74968,LiCr(PO3)3
74969,Cr(PO3)3
74970,LiTi(PO3)4
74971,Ti(PO3)4
74972,Cr2P3O10
74973,LiMn2(PO4)3
74974,GeTe
74975,Fe(PO3)5
74976,LiMnPO4
74977,LiV2(PO4)3
74978,V2(PO4)3
74979,Li2Fe(PO3)4
74980,LiFe(PO3)4
74981,LiVPO4
74982,LiBiP2O7
74983,LaCu5
74984,LiMo(PO3)4
74985,LiCr2P5O16
74986,Cr2P5O16
74987,Li3Co3(PO4)4
74988,MnP2O7
74989,LiCrP2O7
74990,HfAl3
74991,CrP2O7
74992,LiNi(PO3)4
74993,Li3Mn3(PO4)4
74994,Mn3(PO4)4
74995,LaZn
74996,Sb(PO3)4
74997,V(PO3)5
74998,LiMn(PO3)4
74999,Mn(PO3)4
75000,LiSb(PO3)4
75001,NpO2
75002,LiNiP2O7
75003,Li6Cr9(PO4)8
75004,Cr9(PO4)8
75005,Li2Ni(PO3)4
75006,B2Pd5
75007,Sn(PO3)3
75008,LiBi3(PO5)2
75009,Li3Co3(PO4)4
75010,LiMnP2O7
75011,DyAg2
75012,LiFeP2O7
75013,FeP2O7
75014,LiFe2P5O16
75015,Li3Mn2P5O16
75016,LiMn2P5O16
75017,FeSb
75018,Co3(PO4)4
75019,Li3Ni2P5O16
75020,LiNi2P5O16
75021,LiMo2P3O13
75022,Mo2P3O13
75023,Li2Ni(PO3)4
75024,LiCoP2O7
75025,CoP2O7
75026,LiV(PO3)4
75027,Na3B20
75028,DySi
75029,Li3Co3(PO4)4
75030,Li3Co2P5O16
75031,LiCo2P5O16
75032,Li3Cr3(PO4)4
75033,LiBiP2O7
75034,ErAg
75035,BiP2O7
75036,LiNiP2O7
75037,NiP2O7
75038,FeP2O7
75039,Cr3(P2O7)2
75040,LiMnPO4
75041,Pa3As4
75042,MnPO4
75043,Li6Fe3P8O29
75044,Li4Cu(PO4)2
75045,Li3Cu(PO4)2
75046,LiV(PO3)3
75047,V(PO3)3
75048,LiVP2O7
75049,VP2O7
75050,V4As3
75051,LiNiP2O7
75052,NiP2O7
75053,LiMo2P3O13
75054,LiMoP2O7
75055,AlSb
75056,MoP2O7
75057,Li2V3(P2O7)2
75058,V3(P2O7)2
75059,Li3Bi2P5O18
75060,Li5Cu(PO4)2
75061,Li4Cu(PO4)2
75062,U2C3
75063,LiVP2O7
75064,VP2O7
75065,Li2FeP2O7
75066,Li2MnP2O7
75067,Zr3Rh5
75068,Li2Cu(PO3)4
75069,LiCu(PO3)4
75070,Li3Ni3(PO4)4
75071,Ni3(PO4)4
75072,Li2Cu(PO3)4
75073,LiFe(PO3)4
75074,DyAs
75075,Fe(PO3)4
75076,Li2Sn(PO3)4
75077,Mn(PO3)4
75078,Li3Ni2(PO4)3
75079,LiCr(PO3)4
75080,DyCo2
75081,Li3Sb5(PO4)6
75082,MnPO4
75083,LiBi2(PO4)3
75084,Bi2(PO4)3
75085,Li3Cr3(PO4)4
75086,Ce7O12
75087,LiMoP2O7
75088,MoP2O7
75089,LiV(PO3)3
75090,LiSnPO4
75091,SrC2
75092,LiBi2(PO4)3
75093,Bi2(PO4)3
75094,Li6Cu9(PO4)8
75095,Cu9(PO4)8
75096,Li2Cr3(P2O7)2
75097,Cr3(P2O7)2
75098,Li3Fe3(PO4)4
75099,Ba4Al5
75100,Li5Cu(PO4)2
75101,Li4Cu(PO4)2
75102,Li4Ni5(P3O11)2
75103,Ni5(P3O11)2
75104,Cr2(PO4)3
75105,LiCrPO4
75106,Li3Mo(PO3)8
75107,TlF3
75108,V(PO3)4
75109,LiMoP2O7
75110,MoP2O7
75111,LiFeP2O7
75112,Li6Bi3P8O29
75113,Li3Cr(PO3)8
75114,GeO2
75115,Li2CoP2O7
75116,LiFe(PO3)4
75117,Fe(PO3)4
75118,Li3Cr3(PO4)4
75119,LiMnP2O7
75120,NbN
75121,MnP2O7
75122,LiSbP2O7
75123,SbP2O7
75124,LiNiP2O7
75125,Li3Mo(PO4)2
75126,Li2Mo(PO4)2
75127,Li3Mo3(PO4)4
75128,LiCr(PO3)4
75129,Cr(PO3)4
75130,LiFeP2O7
75131,Li2Co(PO3)4
75132,GdMg
75133,LiCo(PO3)4
75134,Ni(PO3)4
75135,Li2NiP2O7
75136,Li3Mn2(PO4)3
75137,LiMn2(PO4)3
75138,Li4Ni(PO4)2
75139,YSe
75140,LiMoPO5
75141,MoPO5
75142,Li5Bi2P5O18
75143,LiMnP2O7
75144,Ni4P7O24
75145,LiNiPO4
75146,NiPO4
75147,LiNb2(PO4)3
75148,Na3N
75149,Nb2(PO4)3
75150,LiMn4(PO4)3
75151,Mn4(PO4)3
75152,LiMnP2O7
75153,Li3V(PO4)2
75154,TbAs
75155,Li2V(PO4)2
75156,LiMoP4O13
75157,MoP4O13
75158,LiNiPO4
75159,LiCoP2O7
75160,Li2SnP2O7
75161,LiTi(PO3)4
75162,Fe2(PO4)3
75163,Li2MnP2O7
75164,Li2V(PO4)2
75165,LiV(PO4)2
75166,Li2Cr(PO3)4
75167,CdAg
75168,Li3V3(PO4)4
75169,LiCoP2O7
75170,Li3Cr2P5O16
75171,LiVPO5
75172,Ti3Cu4
75173,VPO5
75174,Co(PO3)4
75175,LiCrP2O7
75176,Li3Ni2(PO4)3
75177,LiNi2(PO4)3
75178,Li3Mo2(PO4)3
75179,CoSb
75180,LiMoP2O7
75181,Sn4(PO4)3
75182,LiNiP2O7
75183,YbNi5
75184,NiP2O7
75185,Li3Mn2(PO4)3
75186,LiCoP2O7
75187,CrP2O7
75188,Mg3Sb2
75189,Co(PO3)3
75190,LiVPO5
75191,VPO5
75192,LiVPO5
75193,LiCuPO4
75194,Al2Au
75195,Li4Fe5(P3O11)2
75196,LiCuPO4
75197,NbS2
75198,LiNiP2O7
75199,Li3Cr(PO4)2
75200,Li3Cr2(PO4)3
75201,Zr5Sb3
75202,LiCrP2O7
75203,CrP2O7
75204,CrPO5
75205,TaIr3
75206,P4S7
75207,Cr2(PO4)3
75208,Li3Mo(PO4)2
75209,PrF3
75210,LiNi4(PO4)3
75211,Ni4(PO4)3
75212,LiCuPO4
75213,Li2CoP2O7
75214,Li3Mo(PO4)2
75215,Y2O3
75216,LiMo(PO3)4
75217,VP2O7
75218,Li3Ni3(PO4)4
75219,BN
75220,LiCu2P3O10
75221,Cu2P3O10
75222,LiNb2(PO4)3
75223,Li3Mo2(PO4)3
75224,Li3V(PO4)2
75225,Al2S3
75226,LiSb(PO3)4
75227,Sb(PO3)4
75228,LiFeP2O7
75229,Cr2(PO4)3
75230,LiNb(PO3)4
75231,Nb(PO3)4
75232,Li4Co5(P3O11)2
75233,Co5(P3O11)2
75234,Li2Mn3(P2O7)2
75235,Mn3(P2O7)2
75236,LiMnP2O7
75237,LiFePO4
75238,Nd3S4
75239,Li3Mo3(PO4)4
75240,Mo3(PO4)4
75241,LiFeP2O7
75242,FeP2O7
75243,FeP2O7
75244,LiCo3(P3O10)2
75245,Co3(P3O10)2
75246,TiO2
75247,LiCrP2O7
75248,CrP2O7
75249,Bi(PO3)4
75250,Li3Fe(PO4)2
75251,Li2Fe(PO4)2
75252,LiNiPO4
75253,LiCrPO4
75254,AlFe
75255,CrPO4
75256,LiFe2(PO4)3
75257,Fe2(PO4)3
75258,Li5Sb2P5O18
75259,Li3Sb2P5O18
75260,V3(PO4)4
75261,LiN3
75262,LiNb2(PO4)3
75263,BiP2O7
75264,Li5V2P5O18
75265,Zr2Pd
75266,Mo(PO4)2
75267,Li3Mn2(PO4)3
75268,Li3Cr2(PO4)3
75269,LiMnPO4
75270,LiCr2(PO4)3
75271,SrSi
75272,Cr2(PO4)3
75273,LiFePO4
75274,FePO4
75275,LiFeP2O7
75276,FeP2O7
75277,MoP2O7
75278,Li3Cr(PO4)2
75279,Li2Cr(PO4)2
75280,Li3V(PO4)2
75281,MnP
75282,FeP2O7
75283,LiMoP2O7
75284,MoP2O7
75285,LiTiP2O7
75286,Nb3Pt
75287,TiP2O7
75288,MnP2O7
75289,LiV2P3O10
75290,V2P3O10
75291,Li3Mo3(PO4)4
75292,Mo3(PO4)4
75293,LiCoP2O7
75294,TiO
75295,CoP2O7
75296,LiFeP2O7
75297,FeP2O7
75298,CoP2O7
75299,LiCoP2O7
75300,Li2SnP2O7
75301,PrRu2
75302,LiSnP2O7
75303,LiSb(PO3)5
75304,BiP2O7
75305,CrSb2
75306,CoP2O7
75307,LiCr(PO3)4
75308,CsAu
75309,Li2V(PO4)2
75310,LiSb(PO3)4
75311,Li3Fe2(PO4)3
75312,Li3Ni2(PO4)3
75313,Mn3As
75314,LiNi2(PO4)3
75315,LiVP2O7
75316,Li5Cr2P5O18
75317,Li3Cr2P5O18
75318,LiNi(PO3)4
75319,Ni(PO3)4
75320,Li2V(PO3)4
75321,Mo8O23
75322,Li3Ni(PO4)2
75323,Li2Ni(PO4)2
75324,Li2CuPO4
75325,Te2Ru
75326,Nb3Ga
75327,Li3Sn2(PO4)3
75328,LiSn2(PO4)3
75329,LiFe2(PO4)3
75330,Fe2(PO4)3
75331,Li3Cr2(PO4)3
75332,LiV3(P3O10)2
75333,V3(P3O10)2
75334,LiSnP2O7
75335,Li3V2(PO4)3
75336,LiV2(PO4)3
75337,LiCoP2O7
75338,CoP2O7
75339,LiFeP2O7
75340,LiV(PO3)4
75341,K2O2
75342,Li2Nb(PO4)2
75343,Co(PO3)4
75344,LiSnPO4
75345,LiVP2O7
75346,VP2O7
75347,YbPb
75348,Li2VP2O7
75349,MnP2O7
75350,Li3Cr2(PO4)3
75351,YPt2
75352,LiCr2(PO4)3
75353,LiCu4(PO4)3
75354,Cu4(PO4)3
75355,Mo4P7O24
75356,LiSbP2O7
75357,SbP2O7
75358,LiFeP2O7
75359,MgNi2
75360,FeP2O7
75361,Li2CrP2O7
